timestamp,open,high,low,close,volume,datetime
1748156820000,107840.35,107840.36,107788.65,107809.99,6.70398,2025-05-25 07:07:00
1748156880000,107809.99,107834.69,107809.99,107818.18,3.98842,2025-05-25 07:08:00
1748156940000,107818.19,107818.19,107718.09,107731.76,15.70169,2025-05-25 07:09:00
1748157000000,107731.76,107780.0,107731.76,107780.0,6.11605,2025-05-25 07:10:00
1748157060000,107780.0,107797.44,107779.99,107797.44,0.77909,2025-05-25 07:11:00
1748157120000,107797.43,107797.44,107681.81,107681.82,6.33331,2025-05-25 07:12:00
1748157180000,107681.82,107716.08,107681.81,107716.07,4.22146,2025-05-25 07:13:00
1748157240000,107716.08,107716.08,107716.07,107716.08,2.3338,2025-05-25 07:14:00
1748157300000,107716.07,107729.35,107711.84,107711.84,4.23336,2025-05-25 07:15:00
1748157360000,107711.84,107744.2,107711.84,107744.2,2.47611,2025-05-25 07:16:00
1748157420000,107744.2,107787.24,107727.27,107744.0,8.97691,2025-05-25 07:17:00
1748157480000,107744.0,107792.0,107744.0,107791.99,9.06515,2025-05-25 07:18:00
1748157540000,107791.99,107798.83,107791.99,107793.47,2.48099,2025-05-25 07:19:00
1748157600000,107793.48,107793.48,107764.13,107764.13,2.18563,2025-05-25 07:20:00
1748157660000,107764.13,107764.14,107703.33,107714.11,6.80258,2025-05-25 07:21:00
1748157720000,107714.11,107714.12,107693.34,107706.25,4.10622,2025-05-25 07:22:00
1748157780000,107706.25,107706.26,107628.95,107628.95,24.90697,2025-05-25 07:23:00
1748157840000,107628.96,107636.97,107611.65,107611.66,30.4272,2025-05-25 07:24:00
1748157900000,107611.66,107631.98,107610.97,107631.98,10.31359,2025-05-25 07:25:00
1748157960000,107631.97,107631.98,107613.48,107613.49,2.3385,2025-05-25 07:26:00
1748158020000,107613.48,107613.49,107515.25,107547.86,26.0675,2025-05-25 07:27:00
1748158080000,107547.86,107563.24,107461.52,107486.18,48.56472,2025-05-25 07:28:00
1748158140000,107486.17,107545.46,107486.17,107545.45,4.18337,2025-05-25 07:29:00
1748158200000,107545.45,107545.46,107458.01,107458.01,11.50118,2025-05-25 07:30:00
1748158260000,107458.01,107545.46,107454.54,107545.45,9.54746,2025-05-25 07:31:00
1748158320000,107545.45,107624.26,107545.45,107614.35,6.61749,2025-05-25 07:32:00
1748158380000,107614.35,107660.0,107614.35,107622.0,5.08713,2025-05-25 07:33:00
1748158440000,107621.99,107622.0,107610.06,107610.07,3.89689,2025-05-25 07:34:00
1748158500000,107610.06,107663.75,107610.06,107658.46,16.69253,2025-05-25 07:35:00
1748158560000,107658.47,107692.69,107650.0,107692.68,6.61651,2025-05-25 07:36:00
1748158620000,107692.68,107719.13,107662.83,107662.84,31.24327,2025-05-25 07:37:00
1748158680000,107662.83,107676.88,107640.01,107640.01,8.53906,2025-05-25 07:38:00
1748158740000,107640.01,107640.02,107571.42,107583.28,9.95119,2025-05-25 07:39:00
1748158800000,107583.27,107583.28,107555.68,107555.68,7.26903,2025-05-25 07:40:00
1748158860000,107555.68,107555.69,107535.82,107545.45,3.41335,2025-05-25 07:41:00
1748158920000,107545.45,107564.21,107545.45,107564.2,1.89456,2025-05-25 07:42:00
1748158980000,107564.2,107656.0,107564.2,107648.01,3.98255,2025-05-25 07:43:00
1748159040000,107648.0,107648.01,107620.49,107620.5,2.77064,2025-05-25 07:44:00
1748159100000,107620.49,107660.0,107620.49,107659.99,1.82963,2025-05-25 07:45:00
1748159160000,107659.99,107674.42,107659.99,107674.41,1.80115,2025-05-25 07:46:00
1748159220000,107674.41,107699.26,107674.41,107680.01,4.74991,2025-05-25 07:47:00
1748159280000,107680.0,107688.06,107680.0,107684.0,5.34057,2025-05-25 07:48:00
1748159340000,107684.0,107684.0,107636.36,107644.66,10.29678,2025-05-25 07:49:00
1748159400000,107644.65,107685.35,107612.14,107658.86,46.06406,2025-05-25 07:50:00
1748159460000,107658.86,107681.82,107649.42,107649.42,5.01001,2025-05-25 07:51:00
1748159520000,107649.42,107649.43,107573.49,107633.5,12.00014,2025-05-25 07:52:00
1748159580000,107633.5,107675.73,107633.5,107675.73,2.9761,2025-05-25 07:53:00
1748159640000,107675.73,107677.88,107667.84,107667.84,2.4644,2025-05-25 07:54:00
1748159700000,107667.84,107681.82,107648.12,107681.82,2.66955,2025-05-25 07:55:00
1748159760000,107681.81,107685.81,107681.81,107685.81,1.84052,2025-05-25 07:56:00
1748159820000,107685.8,107685.81,107674.07,107674.08,8.23233,2025-05-25 07:57:00
1748159880000,107674.07,107674.08,107649.79,107661.2,2.79413,2025-05-25 07:58:00
1748159940000,107661.2,107681.82,107661.19,107681.81,1.71227,2025-05-25 07:59:00
1748160000000,107681.82,107700.65,107648.75,107694.46,8.27585,2025-05-25 08:00:00
1748160060000,107694.46,107697.03,107667.59,107677.19,9.1468,2025-05-25 08:01:00
1748160120000,107677.2,107681.82,107660.91,107668.02,3.59189,2025-05-25 08:02:00
1748160180000,107668.01,107668.02,107611.51,107611.51,3.292,2025-05-25 08:03:00
1748160240000,107611.51,107611.52,107540.0,107540.0,4.8764,2025-05-25 08:04:00
1748160300000,107540.01,107660.92,107540.0,107640.6,6.08699,2025-05-25 08:05:00
1748160360000,107640.59,107655.38,107595.32,107639.23,5.19904,2025-05-25 08:06:00
1748160420000,107639.23,107646.33,107545.45,107549.18,5.9813,2025-05-25 08:07:00
1748160480000,107549.18,107600.0,107532.81,107532.82,4.54732,2025-05-25 08:08:00
1748160540000,107532.81,107532.82,107479.79,107497.89,12.05482,2025-05-25 08:09:00
1748160600000,107497.88,107500.01,107476.03,107500.01,10.30303,2025-05-25 08:10:00
1748160660000,107500.0,107500.01,107430.17,107463.89,10.57727,2025-05-25 08:11:00
1748160720000,107463.9,107571.43,107463.89,107571.43,10.40396,2025-05-25 08:12:00
1748160780000,107571.43,107571.43,107500.0,107534.34,7.2281,2025-05-25 08:13:00
1748160840000,107534.35,107534.35,107496.35,107496.35,6.65087,2025-05-25 08:14:00
1748160900000,107496.36,107560.63,107462.37,107560.6,11.08922,2025-05-25 08:15:00
1748160960000,107560.6,107560.6,107476.69,107534.66,3.39114,2025-05-25 08:16:00
1748161020000,107534.67,107545.46,107520.74,107520.75,2.44079,2025-05-25 08:17:00
1748161080000,107520.74,107581.81,107520.74,107581.81,10.00305,2025-05-25 08:18:00
1748161140000,107581.81,107595.4,107552.95,107595.4,8.06624,2025-05-25 08:19:00
1748161200000,107595.4,107632.7,107545.46,107545.47,7.26872,2025-05-25 08:20:00
1748161260000,107545.47,107545.47,107512.39,107518.01,6.19863,2025-05-25 08:21:00
1748161320000,107518.02,107562.98,107509.17,107562.98,3.55646,2025-05-25 08:22:00
1748161380000,107562.97,107593.06,107562.97,107588.2,3.11593,2025-05-25 08:23:00
1748161440000,107588.2,107619.35,107580.15,107619.34,1.31753,2025-05-25 08:24:00
1748161500000,107619.35,107619.35,107444.28,107482.27,18.2682,2025-05-25 08:25:00
1748161560000,107482.27,107482.27,107460.0,107460.0,4.43532,2025-05-25 08:26:00
1748161620000,107460.0,107460.01,107391.05,107413.86,18.24525,2025-05-25 08:27:00
1748161680000,107413.85,107413.86,107361.0,107389.45,23.75867,2025-05-25 08:28:00
1748161740000,107389.45,107440.33,107382.76,107440.32,5.33589,2025-05-25 08:29:00
1748161800000,107440.33,107508.25,107440.33,107508.25,12.17198,2025-05-25 08:30:00
1748161860000,107508.24,107545.03,107362.79,107363.61,19.60656,2025-05-25 08:31:00
1748161920000,107363.62,107373.43,107267.75,107267.75,46.58021,2025-05-25 08:32:00
1748161980000,107268.12,107347.65,107255.0,107347.65,39.21378,2025-05-25 08:33:00
1748162040000,107347.65,107355.19,107302.09,107306.02,8.7892,2025-05-25 08:34:00
1748162100000,107306.03,107387.17,107306.02,107378.97,13.36067,2025-05-25 08:35:00
1748162160000,107378.96,107393.54,107347.49,107393.54,13.02616,2025-05-25 08:36:00
1748162220000,107393.54,107418.4,107361.73,107418.39,6.87217,2025-05-25 08:37:00
1748162280000,107418.4,107418.4,107397.2,107399.04,13.60531,2025-05-25 08:38:00
1748162340000,107399.04,107399.04,107390.32,107390.32,3.83018,2025-05-25 08:39:00
1748162400000,107390.32,107390.33,107380.04,107380.04,4.20269,2025-05-25 08:40:00
1748162460000,107380.05,107385.22,107363.63,107385.22,7.22981,2025-05-25 08:41:00
1748162520000,107385.21,107385.22,107281.77,107281.78,19.30359,2025-05-25 08:42:00
1748162580000,107281.78,107318.19,107281.77,107318.19,9.66823,2025-05-25 08:43:00
1748162640000,107318.19,107319.0,107310.42,107319.0,3.50919,2025-05-25 08:44:00
1748162700000,107318.99,107319.0,107272.72,107272.72,8.14526,2025-05-25 08:45:00
1748162760000,107272.72,107295.56,107255.0,107255.01,16.29716,2025-05-25 08:46:00
1748162820000,107255.01,107272.73,107248.32,107248.32,15.84216,2025-05-25 08:47:00
1748162880000,107248.33,107248.33,107100.0,107102.01,108.51378,2025-05-25 08:48:00
1748162940000,107102.01,107102.01,106969.99,107048.01,130.50922,2025-05-25 08:49:00
1748163000000,107048.01,107054.04,106926.14,106959.13,34.8437,2025-05-25 08:50:00
1748163060000,106959.13,107045.44,106956.48,107006.06,14.75275,2025-05-25 08:51:00
1748163120000,107006.06,107045.46,106976.24,107045.46,24.90111,2025-05-25 08:52:00
1748163180000,107045.46,107124.09,106946.8,107101.78,27.43684,2025-05-25 08:53:00
1748163240000,107101.78,107126.0,107000.0,107000.01,29.37704,2025-05-25 08:54:00
1748163300000,107000.01,107045.46,107000.0,107039.39,34.75742,2025-05-25 08:55:00
1748163360000,107039.38,107053.52,107017.45,107053.51,12.34966,2025-05-25 08:56:00
1748163420000,107053.52,107113.08,107030.99,107081.47,13.06678,2025-05-25 08:57:00
1748163480000,107081.48,107087.32,107046.04,107077.58,11.68163,2025-05-25 08:58:00
1748163540000,107077.58,107110.21,107054.89,107109.41,10.66665,2025-05-25 08:59:00
1748163600000,107109.4,107172.0,107055.22,107166.7,28.47604,2025-05-25 09:00:00
1748163660000,107166.7,107191.99,107145.12,107191.99,9.38287,2025-05-25 09:01:00
1748163720000,107191.98,107212.58,107127.18,107128.99,30.80423,2025-05-25 09:02:00
1748163780000,107129.0,107193.1,107128.99,107186.9,12.52922,2025-05-25 09:03:00
1748163840000,107186.9,107186.9,107130.21,107144.63,8.31994,2025-05-25 09:04:00
1748163900000,107144.64,107144.64,107090.9,107107.0,11.60681,2025-05-25 09:05:00
1748163960000,107107.0,107107.0,107057.22,107057.23,9.82411,2025-05-25 09:06:00
1748164020000,107057.22,107057.22,106977.92,106995.99,33.38387,2025-05-25 09:07:00
1748164080000,106996.0,107026.86,106971.31,106992.96,18.71427,2025-05-25 09:08:00
1748164140000,106992.95,107066.47,106990.22,106995.61,19.45082,2025-05-25 09:09:00
1748164200000,106995.62,107148.59,106995.62,107148.58,16.60001,2025-05-25 09:10:00
1748164260000,107148.58,107160.1,107098.03,107160.1,15.54903,2025-05-25 09:11:00
1748164320000,107160.1,107246.84,107126.85,107235.77,19.33505,2025-05-25 09:12:00
1748164380000,107235.77,107250.0,107222.3,107240.01,7.58494,2025-05-25 09:13:00
1748164440000,107240.02,107249.99,107181.81,107181.82,12.19593,2025-05-25 09:14:00
1748164500000,107181.81,107181.82,107058.25,107058.26,12.81967,2025-05-25 09:15:00
1748164560000,107058.26,107100.16,107012.63,107074.26,19.322,2025-05-25 09:16:00
1748164620000,107074.26,107074.27,106949.31,106960.0,18.81137,2025-05-25 09:17:00
1748164680000,106960.0,106988.24,106947.08,106957.8,13.66936,2025-05-25 09:18:00
1748164740000,106957.81,106966.71,106912.01,106912.01,17.92197,2025-05-25 09:19:00
1748164800000,106912.02,106935.91,106900.0,106935.91,30.02881,2025-05-25 09:20:00
1748164860000,106935.91,106984.82,106915.0,106972.21,11.38704,2025-05-25 09:21:00
1748164920000,106972.21,107034.57,106972.2,107034.57,14.8322,2025-05-25 09:22:00
1748164980000,107034.57,107134.59,107034.56,107126.39,23.16026,2025-05-25 09:23:00
1748165040000,107126.39,107160.71,107120.0,107133.28,14.77656,2025-05-25 09:24:00
1748165100000,107133.28,107220.0,107133.28,107201.7,7.70649,2025-05-25 09:25:00
1748165160000,107201.7,107227.47,107200.51,107227.46,5.29422,2025-05-25 09:26:00
1748165220000,107227.46,107235.8,107207.62,107227.28,13.13758,2025-05-25 09:27:00
1748165280000,107227.27,107258.29,107227.27,107230.44,16.88649,2025-05-25 09:28:00
1748165340000,107230.45,107241.28,107157.56,107175.57,20.59606,2025-05-25 09:29:00
1748165400000,107175.58,107216.9,107153.8,107197.98,11.94543,2025-05-25 09:30:00
1748165460000,107197.98,107197.98,107108.88,107152.07,18.92026,2025-05-25 09:31:00
1748165520000,107152.07,107158.0,107080.66,107080.66,16.07313,2025-05-25 09:32:00
1748165580000,107080.66,107136.37,107075.69,107125.68,22.17053,2025-05-25 09:33:00
1748165640000,107125.69,107125.69,107088.2,107104.53,10.85454,2025-05-25 09:34:00
1748165700000,107104.53,107114.37,106951.7,106951.7,37.08634,2025-05-25 09:35:00
1748165760000,106951.71,106951.71,106708.98,106801.66,140.02887,2025-05-25 09:36:00
1748165820000,106801.66,106946.11,106783.28,106900.82,20.47481,2025-05-25 09:37:00
1748165880000,106900.82,106937.98,106879.82,106937.98,15.91852,2025-05-25 09:38:00
1748165940000,106937.99,106944.6,106830.83,106851.59,20.50091,2025-05-25 09:39:00
1748166000000,106851.91,106851.91,106722.03,106742.04,26.3843,2025-05-25 09:40:00
1748166060000,106742.03,106963.01,106742.03,106940.01,15.25444,2025-05-25 09:41:00
1748166120000,106940.01,106941.11,106828.76,106842.97,17.74818,2025-05-25 09:42:00
1748166180000,106842.98,106886.1,106831.95,106831.96,11.96462,2025-05-25 09:43:00
1748166240000,106831.95,106920.3,106775.02,106880.01,39.09061,2025-05-25 09:44:00
1748166300000,106880.01,106948.01,106880.01,106936.09,15.63324,2025-05-25 09:45:00
1748166360000,106936.1,107057.95,106924.61,107018.3,49.82572,2025-05-25 09:46:00
1748166420000,107018.3,107018.3,106969.23,106982.74,13.1161,2025-05-25 09:47:00
1748166480000,106982.74,107019.99,106950.0,107019.99,7.78335,2025-05-25 09:48:00
1748166540000,107019.98,107031.44,106994.9,107019.49,8.91087,2025-05-25 09:49:00
1748166600000,107019.49,107069.99,107019.48,107060.18,3.21496,2025-05-25 09:50:00
1748166660000,107060.18,107110.71,107060.18,107090.9,8.67498,2025-05-25 09:51:00
1748166720000,107090.9,107107.85,107084.34,107090.93,7.83489,2025-05-25 09:52:00
1748166780000,107090.93,107090.93,107048.81,107090.91,6.15562,2025-05-25 09:53:00
1748166840000,107090.9,107114.42,107087.91,107108.96,10.49445,2025-05-25 09:54:00
1748166900000,107108.95,107108.96,107088.57,107088.57,4.4202,2025-05-25 09:55:00
1748166960000,107088.57,107088.58,107045.45,107045.46,9.63018,2025-05-25 09:56:00
1748167020000,107045.45,107069.23,107045.45,107069.23,5.92308,2025-05-25 09:57:00
1748167080000,107069.22,107119.63,107069.22,107119.63,9.72037,2025-05-25 09:58:00
1748167140000,107119.63,107131.68,107111.33,107131.67,3.12067,2025-05-25 09:59:00
1748167200000,107131.68,107147.09,107090.0,107090.01,7.85631,2025-05-25 10:00:00
1748167260000,107090.0,107090.01,107067.07,107070.01,7.22574,2025-05-25 10:01:00
1748167320000,107070.01,107153.84,107070.0,107113.08,12.20627,2025-05-25 10:02:00
1748167380000,107113.08,107147.94,107107.51,107107.52,8.17794,2025-05-25 10:03:00
1748167440000,107107.52,107163.5,107107.52,107163.49,4.42406,2025-05-25 10:04:00
1748167500000,107163.49,107177.45,107100.0,107163.1,12.74047,2025-05-25 10:05:00
1748167560000,107163.11,107219.99,107133.63,107219.98,10.91384,2025-05-25 10:06:00
1748167620000,107219.99,107309.41,107219.98,107240.96,16.67119,2025-05-25 10:07:00
1748167680000,107240.96,107240.96,107138.94,107142.51,12.47756,2025-05-25 10:08:00
1748167740000,107142.5,107226.81,107113.2,107154.63,10.9139,2025-05-25 10:09:00
1748167800000,107154.63,107154.63,107100.0,107100.0,34.7754,2025-05-25 10:10:00
1748167860000,107100.0,107119.72,107100.0,107119.71,2.60906,2025-05-25 10:11:00
1748167920000,107119.71,107151.99,107114.87,107116.09,6.61073,2025-05-25 10:12:00
1748167980000,107116.09,107210.79,107116.09,107209.14,14.38858,2025-05-25 10:13:00
1748168040000,107209.14,107227.28,107183.62,107202.69,7.65605,2025-05-25 10:14:00
1748168100000,107202.69,107223.46,107192.51,107223.26,7.19124,2025-05-25 10:15:00
1748168160000,107223.26,107260.0,107223.26,107246.01,6.02258,2025-05-25 10:16:00
1748168220000,107246.01,107271.57,107234.37,107271.57,3.89357,2025-05-25 10:17:00
1748168280000,107271.56,107286.89,107268.93,107268.93,6.10454,2025-05-25 10:18:00
1748168340000,107268.93,107280.0,107251.77,107272.72,10.5754,2025-05-25 10:19:00
1748168400000,107272.73,107272.73,107224.81,107224.82,16.21758,2025-05-25 10:20:00
1748168460000,107224.82,107234.11,107215.14,107234.11,3.74834,2025-05-25 10:21:00
1748168520000,107234.1,107257.34,107234.1,107257.33,3.01991,2025-05-25 10:22:00
1748168580000,107257.34,107257.34,107242.5,107251.09,9.50988,2025-05-25 10:23:00
1748168640000,107251.08,107253.67,107251.08,107253.67,4.63565,2025-05-25 10:24:00
1748168700000,107253.66,107253.67,107225.26,107225.27,5.63189,2025-05-25 10:25:00
1748168760000,107225.26,107225.27,107195.48,107195.49,2.32582,2025-05-25 10:26:00
1748168820000,107195.49,107195.49,107171.54,107171.55,3.05372,2025-05-25 10:27:00
1748168880000,107171.54,107181.82,107162.39,107162.39,5.26277,2025-05-25 10:28:00
1748168940000,107162.4,107162.4,107090.91,107098.13,81.47776,2025-05-25 10:29:00
1748169000000,107098.14,107150.01,107098.14,107150.01,3.84397,2025-05-25 10:30:00
1748169060000,107150.01,107208.48,107140.03,107208.47,4.40299,2025-05-25 10:31:00
1748169120000,107208.46,107239.63,107187.61,107239.62,3.62056,2025-05-25 10:32:00
1748169180000,107239.62,107250.79,107225.21,107250.79,4.62279,2025-05-25 10:33:00
1748169240000,107250.78,107266.31,107250.78,107266.31,2.79845,2025-05-25 10:34:00
1748169300000,107266.31,107266.31,107237.26,107237.27,6.77708,2025-05-25 10:35:00
1748169360000,107237.26,107263.4,107237.26,107246.9,5.00163,2025-05-25 10:36:00
1748169420000,107246.9,107256.87,107245.44,107247.59,1.65765,2025-05-25 10:37:00
1748169480000,107247.59,107251.64,107231.51,107251.63,2.18656,2025-05-25 10:38:00
1748169540000,107251.64,107251.64,107224.62,107248.19,3.0898,2025-05-25 10:39:00
1748169600000,107248.2,107272.73,107248.19,107270.76,7.04362,2025-05-25 10:40:00
1748169660000,107270.76,107309.95,107270.75,107291.13,36.19475,2025-05-25 10:41:00
1748169720000,107291.12,107312.29,107229.76,107229.77,16.80585,2025-05-25 10:42:00
1748169780000,107229.76,107229.77,107205.2,107205.2,2.18136,2025-05-25 10:43:00
1748169840000,107205.2,107205.21,107184.49,107184.49,6.54892,2025-05-25 10:44:00
1748169900000,107184.49,107241.88,107181.81,107241.87,16.49002,2025-05-25 10:45:00
1748169960000,107241.88,107251.38,107241.87,107251.38,1.04543,2025-05-25 10:46:00
